2989,-1.94E-01,1.34E-02,3.34E-01
3811,-1.94E-01,1.62E-17,3.34E-01
3812,-1.94E-01,1.62E-17,3.28E-01
2990,-1.94E-01,1.72E-02,3.46E-01
2992,-1.94E-01,1.62E-17,3.53E-01
2988,-1.94E-01,2.20E-02,3.57E-01
2991,-1.94E-01,1.62E-17,3.57E-01
3808,-1.94E-01,2.30E-02,3.43E-01
3809,-1.94E-01,1.92E-02,3.31E-01
3013,-1.94E-01,3.04E-02,3.35E-01
3012,-1.94E-01,3.27E-02,3.58E-01
3002,-1.94E-01,4.86E-02,3.38E-01
2985,-1.94E-01,5.22E-02,3.60E-01
2987,-1.94E-01,2.91E-02,3.73E-01
2986,-1.94E-01,4.58E-02,3.73E-01
3068,-1.94E-01,2.91E-02,3.86E-01
3078,-1.94E-01,1.58E-02,3.86E-01
3074,-1.94E-01,1.58E-02,3.73E-01
3076,-1.94E-01,1.58E-02,3.93E-01
3056,-1.94E-01,3.08E-02,3.93E-01
4726,-1.94E-01,3.35E-02,4.02E-01
4725,-1.94E-01,4.58E-02,4.02E-01
3055,-1.94E-01,4.58E-02,3.93E-01
3067,-1.94E-01,4.58E-02,3.86E-01
3063,-1.94E-01,5.48E-02,3.97E-01
3051,-1.94E-01,5.22E-02,3.86E-01
3050,-1.94E-01,6.49E-02,3.86E-01
3062,-1.94E-01,6.23E-02,3.97E-01
4730,-1.94E-01,8.41E-02,4.02E-01
4729,-1.94E-01,7.13E-02,4.02E-01
3054,-1.94E-01,7.13E-02,3.93E-01
3057,-1.94E-01,8.67E-02,3.93E-01
3066,-1.94E-01,7.13E-02,3.86E-01
3069,-1.94E-01,9.03E-02,3.80E-01
2983,-1.94E-01,7.13E-02,3.73E-01
3001,-1.94E-01,5.89E-02,3.36E-01
2984,-1.94E-01,6.49E-02,3.60E-01
2999,-1.94E-01,9.20E-02,3.73E-01
2979,-1.86E-01,1.14E-01,3.73E-01
2914,-1.94E-01,1.02E-01,3.73E-01
2838,-1.86E-01,1.02E-01,3.73E-01
3000,-1.94E-01,8.63E-02,3.57E-01
2977,-1.94E-01,9.95E-02,3.57E-01
2976,-1.86E-01,9.95E-02,3.57E-01
2913,-1.94E-01,9.73E-02,3.41E-01
2837,-1.86E-01,9.69E-02,3.41E-01
2998,-1.94E-01,6.86E-02,3.23E-01
3007,-1.86E-01,6.86E-02,3.23E-01
2912,-1.94E-01,8.13E-02,3.16E-01
2836,-1.86E-01,8.13E-02,3.16E-01
2980,-1.76E-01,1.15E-01,3.73E-01
2978,-1.76E-01,9.95E-02,3.57E-01
2982,-1.76E-01,1.13E-01,3.57E-01
2981,-1.86E-01,1.11E-01,3.57E-01
2917,-1.76E-01,9.69E-02,3.41E-01
2916,-1.76E-01,8.13E-02,3.16E-01
2835,-1.86E-01,7.00E-02,2.98E-01
2910,-1.94E-01,7.00E-02,2.98E-01
3510,-1.69E-01,1.14E-01,3.73E-01
3508,-1.66E-01,1.02E-01,3.73E-01
3511,-1.68E-01,1.11E-01,3.57E-01
3509,-1.65E-01,9.95E-02,3.57E-01
3454,-1.66E-01,9.69E-02,3.41E-01
3453,-1.66E-01,8.13E-02,3.16E-01
2839,-1.83E-01,1.62E-17,3.04E-01
2908,-1.94E-01,1.27E-02,3.19E-01
2909,-1.94E-01,1.62E-17,3.12E-01
2840,-1.86E-01,2.23E-02,3.01E-01
2907,-1.94E-01,2.72E-02,3.12E-01
2911,-1.94E-01,4.85E-02,2.96E-01
2915,-1.94E-01,6.14E-02,2.97E-01
2903,-1.87E-01,5.42E-02,3.00E-01
2834,-1.86E-01,7.00E-02,2.84E-01
2833,-1.86E-01,7.00E-02,2.74E-01
3450,-1.65E-01,7.00E-02,2.73E-01
3451,-1.62E-01,7.00E-02,2.92E-01
3452,-1.58E-01,7.00E-02,2.98E-01
2899,-1.87E-01,4.56E-02,3.00E-01
2906,-1.94E-01,3.78E-02,2.96E-01
2901,-1.86E-01,3.84E-02,3.01E-01
2902,-1.87E-01,5.37E-02,2.83E-01
2898,-1.87E-01,4.56E-02,2.83E-01
2900,-1.86E-01,3.87E-02,2.83E-01
2817,-1.39E-01,1.02E-01,3.73E-01
4636,-1.42E-01,9.82E-02,3.53E-01
3482,-1.32E-01,1.02E-01,3.73E-01
3607,-1.25E-01,1.02E-01,3.73E-01
4640,-1.32E-01,9.82E-02,3.53E-01
4639,-1.42E-01,1.14E-01,3.53E-01
4641,-1.32E-01,1.14E-01,3.53E-01
4642,-1.25E-01,9.82E-02,3.53E-01
4643,-1.25E-01,1.14E-01,3.53E-01
4637,-1.08E-01,9.82E-02,3.53E-01
4638,-1.08E-01,1.14E-01,3.53E-01
2832,-1.86E-01,7.00E-02,2.51E-01
3449,-1.62E-01,7.00E-02,2.56E-01
204,-1.86E-01,7.00E-02,2.36E-01
2606,-1.76E-01,7.00E-02,2.36E-01
203,-1.69E-01,7.00E-02,2.36E-01
3388,-1.60E-01,7.00E-02,2.36E-01
